Marvin_Pratt
David_Crowley_(Wisconsin_politician)
John_Abele
Timothy_J._Toomey_Jr.
Val_Hoyle
Barbara_Smith_Warner
Mary_Nolan_(politician)
Akasha_Lawrence-Spence
Walter_C._Ploeser
Thomas_B._Curtis
Alexander_Beglov
Michael_DeMarco
Wendell_Foster
Jos%C3%A9_Manuel_Rodr%C3%ADguez_Uribes
Carolina_Darias
Isabel_Rodr%C3%ADguez_Garc%C3%ADa
Mar%C3%ADa_Jes%C3%BAs_Montero
Eva_Granados
Pere_Navarro
Salvador_Illa
N%C3%BAria_Mar%C3%ADn
Stanley_Mandelstam
Donald_Thompson_(politician)
Craig_Whittaker
Henry_Mason_Mathews
Alexander_Ferdinand_Mathews
Mathews_family
Paavo_Arhinm%C3%A4ki
Sanni_Grahn-Laasonen
Krista_Kiuru
Paul_DiGaetano
Kathleen_Donovan
John_V._Kelly
Chris_Patten
Andrew_Wong_(politician)
Albert_Hawke
John_Tonkin
Crawford_Nalder
Charles_Latham
Frank_Wise
Arnold_Piesse
Clayton_Mitchell_(Australian_politician)
"Frederick_II,_Landgrave_of_Hesse-Kassel"
Princess_Mary_of_Great_Britain
Liam_Burns_(NUS_president)
Megan_Dunn_(NUS_president)
Gustaf_Gr%C3%BCndgens
Thomas_Bernhard
John_B._Kendrick
Lansing_Bond_Mizner
Wilson_Mizner
Barack_Obama
Marilyn_Tavenner
George_H._Christopher
William_Clay_Cole
Franklin_D._Roosevelt
Andrew_W._Mellon
Joseph_P._Kennedy
Paul_C._Barth
James_F._Grinstead
"Barry_Bingham,_Sr."
Ruy_G%C3%B3mez_de_Silva
Diego_Hurtado_de_Mendoza_y_de_la_Cerda
John_Drayton
Robert_Budd_Gilchrist
Ivo_Opstelten
Henk_van_Hoof
Jetta_Klijnsma
Ann_Coffey
Roger_Blake_West
Eldon_E._Fallon
Sidney_Barthelemy
Leonard_Lance
Virginia_L._Bennett
Michael_Posner_(lawyer)
Robert_Destro
Blair_Clark
Ilhan_Omar
Sahra_Noor
Floyd_K._Haskell
Roman_Totenberg
Amy_Totenberg
N._R._Narayana_Murthy
Akshata_Murty
Rohan_Murty
Rishi_Sunak
Vladimir_Kovalevskij
Karl_Weierstrass
William_Appleton_(politician)
Samuel_Appleton_(merchant)
Nathan_Appleton
Heinrich_Behnke
Beno_Eckmann
Wolf_Barth
Dudley_Herschbach
Hongkun_Park
William_R_Simpson_(chemist)
Renato_Zenobi
Stacey_Bent
Jo_Grimond
David_Steel
James_Lindsay_(Conservative_politician)
Tony_Speller
Marion_Stein
John_Henry_Thorpe
John_Norton-Griffiths
Donald_Tsang
Henry_Tang
Fu_Mingxia
William_Bernstein_Schwartz_Jr.
Carol_Boyd_Hallett
Paula_Dobriansky
Bill_Janklow
Roger_Tellinghuisen
Christina_Armijo
John_Edwards_Conway
Samuel_Hayes_(settler)
James_Olmsted
John_Platt_(settler)
Thomas_Betts
Andrew_Messenger
Samuel_Marvin
Joseph_Platt_(politician)
John_Marvin_(Connecticut_politician)
William_Montgomery_Vermilye
Edward_Floyd_DeLancey
Anna_Remsen_Webb
Claire_Eagan
John_E._Dowdell
Sven_Erik_Holmes
Kent_Frizzell
Jimmy_Carter
Ronald_Reagan
Wayne_Angell
William_Douglas_Sloane
Henry_Sloane_Coffin
William_Sloane_Coffin_Sr.
Henry-Louis_de_La_Grange
Jacques_Toubon
Denis_Baupin
David_Mackintosh_(politician)
Bill_Newton_Dunn
Rupert_Matthews
Anne_Western
Adrienne_de_Noailles
Georges_Washington_de_La_Fayette
James_H._Kyle
Coe_I._Crawford
Arthur_C._Mellette
Harry_S._Truman
George_Marshall
John_Foster_Dulles
Joseph_Grew
Robert_A._Lovett
Ernest_A._Gross
Dean_Rusk
Alice_Acheson
David_Campion_Acheson
John_Hubert_Ward
Whitelaw_Reid
Ogden_Mills_Reid
Darius_Ogden_Mills
Ogden_Mills_(financier)
Gladys_Mills_Phipps
"Beatrice_Mills_Forbes,_8th_Countess_of_Granard"
Ogden_L._Mills
Cornelius_Vanderbilt_II
Cornelius_Vanderbilt_III
Gertrude_Vanderbilt_Whitney
Alfred_Gwynne_Vanderbilt
Reginald_Claypoole_Vanderbilt
Gladys_Vanderbilt_Sz%C3%A9chenyi
Anthony_Crosland
Michael_Heseltine
"Peter_Walker,_Baron_Walker_of_Worcester"
Edmund_Dell
"George_Thomson,_Baron_Thomson_of_Monifieth"
"Niall_Macpherson,_1st_Baron_Drumalbyn"
"Michael_Stewart,_Baron_Stewart_of_Fulham"
