George_V
Mary_of_Teck
Edward_VIII
#cite_note-12
George_VI
Queen_Elizabeth_The_Queen_Mother
"Mary,_Princess_Royal_and_Countess_of_Harewood"
"Prince_Henry,_Duke_of_Gloucester"
"Princess_Alice,_Duchess_of_Gloucester"
"Prince_George,_Duke_of_Kent"
Princess_Marina_of_Greece_and_Denmark
Prince_John_of_the_United_Kingdom
"Prince_Philip,_Duke_of_Edinburgh"
Elizabeth_II
"Princess_Margaret,_Countess_of_Snowdon"
Prince_William_of_Gloucester
"Birgitte,_Duchess_of_Gloucester"
"Prince_Richard,_Duke_of_Gloucester"
"Prince_Edward,_Duke_of_Kent"
"Katharine,_Duchess_of_Kent"
"Princess_Alexandra,_The_Honourable_Lady_Ogilvy"
Prince_Michael_of_Kent
Princess_Michael_of_Kent
"Camilla,_Duchess_of_Cornwall"
"Charles,_Prince_of_Wales"
"Diana,_Princess_of_Wales"
"Anne,_Princess_Royal"
"Prince_Andrew,_Duke_of_York"
"Sarah,_Duchess_of_York"
"Prince_Edward,_Earl_of_Wessex"
"Sophie,_Countess_of_Wessex"
"Catherine,_Duchess_of_Cambridge"
"Prince_William,_Duke_of_Cambridge"
"Prince_Harry,_Duke_of_Sussex"
"Meghan,_Duchess_of_Sussex"
Princess_Beatrice
Princess_Eugenie
Lady_Louise_Mountbatten-Windsor
"James,_Viscount_Severn"
Prince_George_of_Cambridge
Princess_Charlotte_of_Cambridge
Prince_Louis_of_Cambridge
Archie_Mountbatten-Windsor
Lilibet_Mountbatten-Windsor
