Pippinids
Pepin_I
Mayor_of_the_Palace
Arnulf_of_Metz
Begga
Ansegisel
Pepin_II
Alpaida
Swanachild
Charles_Martel
Rotrude_of_Hesbaye
Carolingian_dynasty
Grifo_(noble)
"Odilo,_Duke_of_Bavaria"
Hiltrud
Carloman_(mayor_of_the_palace)
Pepin_the_Short
Bertrada_of_Laon
Auda_of_France
Thierry_IV
Autun
"Gerberga,_wife_of_Carloman_I"
Carloman_I
"Gisela,_Abbess_of_Chelles"
Fastrada
Himiltrude
Hildegard_of_the_Vinzgau
Charlemagne
Desiderata_of_the_Lombards
Luitgard_(Frankish_queen)
Pepin_the_Hunchback
Theodrada
Drogo_of_Metz
Hugh_(abbot_of_Saint-Quentin)
Charles_the_Younger
Rotrude
"Bertha,_daughter_of_Charlemagne"
Pepin_of_Italy
Ermengarde_of_Hesbaye
Louis_the_Pious
Judith_of_Bavaria_(died_843)
Pepin_I_of_Aquitaine
Duchy_of_Aquitaine
Arnulf_of_Sens
Hemma
Louis_the_German
East_Francia
Ermengarde_of_Tours
Lothair_I
Middle_Francia
Ermentrude_of_Orl%C3%A9ans
Charles_the_Bald
Richilde_of_Provence
"Gisela,_daughter_of_Louis_the_Pious"
Eberhard_of_Friuli
"Baldwin_I,_Margrave_of_Flanders"
Judith_of_Flanders
Lothair_the_Lame
"Carloman,_son_of_Charles_the_Bald"
Rothilde
"Roger,_Count_of_Maine"
Charles_the_Fat
Western_Francia
Richardis
Ansgarde_of_Burgundy
Louis_the_Stammerer
Western_Francia
Adelaide_of_Paris
Charles_the_Child
Duchy_of_Aquitaine
Robertians
Robert_the_Strong
March_of_Neustria
Louis_III_of_France
Western_Francia
Carloman_II
Western_Francia
Frederuna
Charles_the_Simple
Western_Francia
Eadgifu_of_Wessex
Odo_of_France
Western_Francia
Th%C3%A9odrate_of_Troyes
Robert_I_of_France
Western_Francia
B%C3%A9atrice_of_Vermandois
Henry_the_Fowler
Bosonids
Rudolph_of_France
Western_Francia
Emma_of_France
"Herbert_II,_Count_of_Vermandois"
Hugh_the_Great
Duke_of_the_Franks
Hedwig_of_Saxony
Gerberga_of_Saxony
Louis_IV_of_France
Western_Francia
Capetian_dynasty
Emma_of_Italy
Lothair_of_France
Western_Francia
Matilda_of_France
Conrad_I_of_Burgundy
"Charles,_Duke_of_Lower_Lorraine"
Louis_V_of_France
Western_Francia
Arnulf_(archbishop_of_Reims)
Albert_I_of_Namur
House_of_Namur
"Otto,_Duke_of_Lower_Lorraine"
