name,citizenship,position,organization
 Henri de Castries,FRA,Chairman, Steering Committee; Chairman
 Marie-Josée Kravis,USA,President, American Friends of Bilderberg Inc.; Senior Fellow
 Victor Halberstadt,NLD,Chairman Foundation Bilderberg Meetings; Professor of Economics, Leiden University
 Paul M. Achleitner,DEU,Treasurer Foundation Bilderberg Meetings; Chairman Supervisory Board, Deutsche Bank AG
 Stacey Abrams,USA,Founder and Chair, Fair Fight
 Andrew Adonis,GBR,Member, House of Lords
 Isabel Albers,BEL,Editorial Director, De Tijd / L'Echo
 Roger C. Altman,USA,Founder and Senior Chairman, Evercore
 Louise Arbour,CAN,Senior Counsel, Borden Ladner Gervais LLP
 Inés Arrimadas,ESP,Party Leader, Ciudadanos
 Audrey Azoulay,INT,Director-General, UNESCO
 James H. Baker,USA,Director, Office of Net Assessment
 Evren Balta,TUR,Associate Professor of Political Science, Özyegin University
 Patricia Barbizet,FRA,Chairwoman and CEO, Temaris & Associés
 Estela Barbot,PRT,Member of the Board and Audit Committee, REN (Redes Energéticas Nacionais)
 José Manuel Barroso,PRT,Chairman, Goldman Sachs International; Former President
 Dominic Barton,CAN,Senior Partner and former Global Managing Partner, McKinsey & Company
 Clément Beaune,FRA, Adviser Europe and G20, Office of the President of the Republic of France
 Hans-Christian Boos,DEU,CEO and Founder, Arago GmbH
 Nick Bostrom,GBR Director,Future of Humanity Institute, Oxford University
 Ana P. Botín,ESP,Group Executive Chair, Banco Santander
 Svein Richard Brandtzæg,NOR,Chairman, Norwegian University of Science and Technology
 Børge Brende,NOR,President, World Economic Forum
 Thomas Buberl,FRA,CEO, AXA
 Kathalijne Buitenweg,NLD,MP, Green Party
 Patrice Caine,FRA,Chairman and CEO, Thales Group
 Mark J. Carney,GBR,Governor, Bank of England
 Pablo Casado,ESP,President, Partido Popular
 Ahmet Ünal Ceviköz,TUR,MP, Republican People's Party (CHP)
 Jared Cohen,USA,Founder and CEO, Jigsaw
 Arnold Croiset van Uchelen,NLD, Partner, Allen & Overy LLP
 Matthew Daniels,USA,New space and technology projects, Office of the Secretary of Defense
 Selva Demiralp,TUR,Professor of Economics, Koç University
 Paschal Donohoe,IRL,Minister for Finance, Public Expenditure and Reform
 Mathias Döpfner,DEU,Chairman and CEO, Axel Springer SE
 James O. Ellis,USA,Chairman, Users’ Advisory Group
