name,citizenship,position,organization
Henri de Castries, FRA,Chairman and CEO,AXA Group
 Ahmed Aboutaleb,NLD ,Mayor, City of Rotterdam
 Paul M. Achleitner,DEU ,Chairman of the Supervisory Board, Deutsche Bank AG
 Marcus Agius,GBR ,Chairman, PA Consulting Group
 Thomas Ahrenkiel,DNK ,Permanent Secretary, Ministry of Defence
 Maria Luís Albuquerque,PRT ,Former Minister of Finance; MP, Social Democratic Party
 César Alierta,ESP ,Executive Chairman and CEO, Telefónica
 Roger C. Altman,USA ,Executive Chairman, Evercore
 Sam Altman,USA ,President, Y Combinator
 Magdalena Andersson,SWE ,Minister of Finance,
 Anne Applebaum,USA ,Columnist Washington Post; Director of the Transitions Forum, Legatum Institute
 Matti Apunen,FIN ,Director, Finnish Business and Policy Forum EVA
 Senem Aydin-Düzgit,TUR ,Associate Professor and Jean Monnet Chair, Istanbul Bilgi University
 Patricia Barbizet,FRA ,CEO, Artemis
 José M. Durão Barroso,PRT ,Former President of the European Commission,
 Nicolas Baverez,FRA ,Partner, Gibson
 Yoshua Bengio,CAN ,Professor in Computer Science and Operations Research, University of Montreal
 René Benko,AUT ,Founder and Chairman of the Advisory Board, SIGNA Holding GmbH
 Franco Bernabè,ITA ,Chairman, CartaSi S.p.A.
 Ben van Beurden,NLD ,CEO, Royal Dutch Shell plc
 Olivier Blanchard,FRA ,Fred Bergsten Senior Fellow, Peterson Institute
 Ana P. Botín,ESP ,Executive Chairman, Banco Santander
 Philip M. Breedlove,INT ,Former Supreme Allied Commander Europe,
 Børge Brende,NOR ,Minister of Foreign Affairs,
 William J. Burns,USA ,President, Carnegie Endowment for International Peace
 Juan Luis Cebrián,ESP ,Executive Chairman, PRISA and El País
 Emmanuelle Charpentier,FRA ,Director, Max Planck Institute for Infection Biology
 Benoît Coeuré,INT ,Member of the Executive Board, European Central Bank
 Claudio Costamagna,ITA ,Chairman, Cassa Depositi e Prestiti S.p.A
 David M. Cote,USA ,Chairman and CEO, Honeywell
 John Cryan,DEU ,CEO, Deutsche Bank AG
 Marta Dassù,ITA ,Senior Director, European Affairs
 Sharon Dijksma,NLD ,Minister for the Environment,
 Mathias Döpfner,DEU ,CEO, Axel Springer SE
 Robert Dudley,GBR ,Group Chief Executive, BP plc
 Christian Dyvig,DNK ,Chairman, Kompan
 Thomas Ebeling,DEU ,CEO, ProSiebenSat.1
 John Elkann,ITA ,Chairman and CEO, EXOR; Chairman
 Thomas Enders,DEU ,CEO, Airbus Group
 Richard Engel,USA ,Chief Foreign Correspondent, NBC News
 Laurent Fabius,FRA ,President, Constitutional Council
 Ulrik Federspiel,DNK ,Group Executive, Haldor Topsøe A/S
 Jr. Ferguson,USA ,President and CEO, TIAA
 Niall Ferguson,USA ,Professor of History, Harvard University
 Douglas J. Flint,GBR ,Group Chairman, HSBC Holdings plc
 Luis Garicano,ESP ,Professor of Economics, LSE; Senior Advisor to Ciudadanos
 Kristalina Georgieva,INT ,Vice President, European Commission
 Etienne Gernelle,FRA ,Editorial Director, Le Point
 Carlos Gomes da Silva,PRT ,Vice Chairman and CEO, Galp Energia
 Helen Goodman,GBR ,MP, Labour Party
 Sylvie Goulard,INT ,Member of the European Parliament,
 Lindsey Graham,USA ,Senator,
 Ulrich Grillo,DEU ,Chairman, Grillo-Werke AG; President
 Lilli Gruber,ITA ,Editor-in-Chief and Anchor “Otto e mezzo”, La7 TV
 Chris Hadfield,CAN ,Colonel, Astronaut
 Victor Halberstadt,NLD ,Professor of Economics, Leiden University
 Dido Harding,GBR CEO ,TalkTalk Telecom Group plc,
 Demis Hassabis,GBR ,Co-Founder and CEO, DeepMind
 Mellody Hobson,USA ,President, Ariel Investment
