name,full_name,born
A. L. (Slim) Rasmussen,Albert Lawrence Rasmussen,1909-10-10 00:00:00
Archie Lee Chandler,,"December 16, 1922"
A. L. Strand,,1894-02-12 00:00:00
A. Leroy Greason,,1922-09-13 00:00:00
A. Leon Higginbotham Jr.,,1928-02-25 00:00:00
Linwood Holton,Abner Linwood Holton Jr.,1923-09-21 00:00:00
A. Mitchell Palmer,Alexander Mitchell Palmer,1872-05-04 00:00:00
A. P. J. Abdul Kalam,Avul Pakir Jainulabdeen Abdul Kalam,1931-10-15 00:00:00
A. P. Lutali,Aifili Paulo Lutali,1919-12-24 00:00:00
Abram Piatt Andrew Jr.,,1873-02-12 00:00:00
A. P. Jayasuriya,Alexander Perera Jayasuriya,1901-11-01 00:00:00
A. Marvin Quattlebaum Jr.,Arthur Marvin Quattlebaum Jr.,1964-08-02 00:00:00
Almon Rouse Meek,,1834
AQM Badruddoza Chowdhury,একিউএম বদরুদ্দোজা চৌধুরী,1932-11-01 00:00:00
A. R. McCabe,,1896-06-01 00:00:00
A. Pratt Kessler,,1905-04-26 00:00:00
A. S. J. Carnahan,Albert Sidney Johnson Carnahan,1897-01-09 00:00:00
A. Raymond Randolph,Arthur Raymond Randolph,1943-11-01 00:00:00
A. Richard Caputo,,1938-05-22 00:00:00
ATM Afzal,,
A. Ronald Button,,"August 29, 1903"
A. S. M. Abdur Rab,আ. স. ম. আবদুর রব,1945 (age 76–77)
A. U. Wyman,Albert U. Wyman,1833
A. U. Fuimaono,Asuemu Ulufale Fuimaono,1924-01-24 00:00:00
The Earl Alexander of Hillsborough,,1885-05-01 00:00:00
A. Victor Donahey,Alvin Victor Donahey,1873-07-07 00:00:00
Vernon Weaver,Arthur Vernon Weaver Jr.,1922-04-16 00:00:00
Vic Thomas,Alfred Victor Thomas,1929-11-09 00:00:00
A. Walter Norblad,Albin Walter Norblad Jr.,1908-09-12 00:00:00
A. Wess Mitchell,Aaron Wess Mitchell,"April 1, 1977"
A. William Maupin,,
A. W. Norblad,Albin Walter Youngsberg,1881-03-19 00:00:00
A. W. Tiffany,,1827-07-08 00:00:00
Arthur Walton Litz,,
Aad J. Vinje,Aad John Vinje,1857-11-10 00:00:00
Aad Kosto,Arie Kosto,1938-01-09 00:00:00
A. K. M. Nurul Islam,এ কে এম নূরুল ইসলাম,1919-08-01 00:00:00
Absalom Willis Robertson,,1887-05-27 00:00:00
Aad Nuis,Adrianus Nuis,1933-07-18 00:00:00
Aaron Augustus Sargent,,1827-09-28 00:00:00
Aaron Augustus Sargent,,1827-09-28 00:00:00
Aaron Aylward,,
Aarnoud van Heemstra,,1871-07-22 00:00:00
Aaron Columbus Burr,Aaron Burr Colombe,1808-09-15 00:00:00
Aaron Burr Sr.,,1716-01-04 00:00:00
Aaron E. Waite,,"December 26, 1813"
Aaron Bean,,1967-01-25 00:00:00
Aaron Burr,Aaron Burr Jr.,1756-02-06 00:00:00
Aaron Clark,,"October 16, 1787"
Aaron E. Waite,,"December 26, 1813"
Aaron Ford,Aaron Darnell Ford,1972-05-24 00:00:00
Aaron Hinman Grout,,1879-01-18 00:00:00
Aaron Frey,,1978/1979 (age 42–43)
Aaron Hobart,,1787-06-26 00:00:00
Aaron Harlan,,1802-09-08 00:00:00
Aaron Leland,,"May 28, 1761"
Aaron Kitchell,,1744-07-10 00:00:00
Aaron Ling Johanson,,1980-01-30 00:00:00
Aaron Kaufer,,1988-07-11 00:00:00
Aaron M. Johnson,,1991-06-09 00:00:00
Aaron Michlewitz,,1978-06-07 00:00:00
Aaron Ogden,,1756-12-03 00:00:00
Aaron Motsoaledi,,1958-08-07 00:00:00
Aaron Peskin,Aaron Dan Peskin,1964-06-17 00:00:00
Aaron Porter,,1985-01-11 00:00:00
Aaron Ringel,,
Aaron Shaw,,1811-12-19 00:00:00
Aaron Shenk Kreider,,1863-06-26 00:00:00
Aaron Sloman,,1936 (age 85–86)
Aaron Sorkin,,1961-06-09 00:00:00
Aaron S. Williams,,Chicago
Aaron T. Bliss,,"May 22, 1837"
Aaron Brown,Aaron Venable Brown,1795-08-15 00:00:00
Aaron Vail,,"October 26, 1796"
Aaron Van Schaick Cochrane,,"March 14, 1858"
Aaron Ward,,"July 5, 1790"
Aaron Swartz,Aaron Hillel Swartz,1986-11-08 00:00:00
Aase Lionæs,,1907-04-10 00:00:00
Aart Jan de Geus,Aart Jan de Geus,1955-07-28 00:00:00
Abba Kyari,,1952-09-23 00:00:00
Abbas Akhil,Abbas Ali Akhil,
Abbas Araghchi,,1962 (age 59–60)
Ab Klink,Abraham Klink,1958-11-02 00:00:00
Abba Kabir Yusuf,,1963-01-05 00:00:00
Aat van Rhijn,Arie Adriaan van Rhijn,1892-10-23 00:00:00
Abbot Low Moffat,,1901-05-12 00:00:00
Abbi Silver,,1964-12-03 00:00:00
Abbie Kamin,,
Abbie G. Rogers,Abigail Palmer Gifford,1841-01-20 00:00:00
Abbott Lawrence,,1792-12-16 00:00:00
A. Lawrence Lowell,Abbott Lawrence Lowell,1856-12-13 00:00:00
Abby Aldrich Rockefeller,Abigail Greene Aldrich,1874-10-26 00:00:00
Abdel Rahman Shalgham,,1949-11-22 00:00:00
Abdel Fattah el-Sisi,عبد الفتاح السیسی,1954-11-19 00:00:00
Abdelmalek Benhabyles,,1921-04-27 00:00:00
Abdelkader Bensalah,,1941-11-24 00:00:00
Abdelmadjid Tebboune,,1945-11-17 00:00:00
Abdelmalek Sellal,,1948-08-01 00:00:00
Abdelaziz Bouteflika,,1937-03-02 00:00:00
Abdollah Javadi Amoli,,1933-05-05 00:00:00
Abdessalam Jalloud ,,1944-12-15 00:00:00
Abdolreza Rahmani Fazli,,1959 (age 62–63)
Abdollah Nouri,,1950 (age 71–72)
Abdul Ati al-Obeidi ,,1939-10-10 00:00:00
Abdou Diouf,,1935-09-07 00:00:00
Abdul-Wahid Shannan ar-Ribat,عبد الواحد شنان آل رباط,12 April 1944
Abdul Hakeem Khan,,
Abdul El-Sayed,Abdulrahman Mohamed El-Sayed,1984-10-31 00:00:00
Abdul Hafeez Pirzada ,,1935-02-24 00:00:00
Abdul Malek Ukil,আব্দুল মালেক উকিল,1924-10-01 00:00:00
Abdul Hamid,মোহাম্মাদ আবদুল হামিদ,1944-01-01 00:00:00
Abdul Rahman Mohamad,Abdul Rahman bin Mohamad,1964-04-13 00:00:00
Abdul Rahim Bakri,Abdul Rahim bin Bakri,1961-04-11 00:00:00
Abdul Latif Bhuiyan,,
Abdulkadir Kure,,1956-02-26 00:00:00
Abdul Sattar,Abdul Sattar,1931
Abdullah Bin Hamad Al-Attiyah,,1952 (age 69–70)
Abdullah Hussain Haroon,,1950-10-21 00:00:00
Abdullahi Sarki Mukhtar,,1949-07-05 00:00:00
Abdulsalami Abubakar,,1942-06-13 00:00:00
Abdullahi Mohammed,,1939
Abdullahi Umar Ganduje,,1949-12-25 00:00:00
Abdur Rahman Biswas,আবদুর রহমান বিশ্বাস,1926-09-01 00:00:00
Abdullah Tarmugi,,1944-08-25 00:00:00
Abdullahi Shelleng,,1942-01-20 00:00:00
Abdulsalami Abubakar,,1942-06-13 00:00:00
Abdulmumini M. Hassan Zareku,,
Abdus Sattar,আব্দুস সাত্তার,1906-03-01 00:00:00
Abdulrahman Gimba,,16 June 1945
Abe Brault,Adelard Lionel Brault,1909-04-06 00:00:00
Abe Deutschendorf,,
Orrice Abram Murdock Jr.,Orrice Abram Murdock Jr.,1893-07-18 00:00:00
Abel Maldonado,,1967-08-21 00:00:00
Abe Fortas,Abraham Fortas,1910-06-19 00:00:00
Abel Underwood,,1799-04-08 00:00:00
Abel Pacheco de La Espriella,,1933-12-22 00:00:00
Abena Oppong-Asare,Abena Oppong-Asare,1983-02-08 00:00:00
Abiah Folger,,"August 15, 1667"
Abiel Abbot Low,,1811-02-07 00:00:00
Abel Upshur,Abel Parker Upshur,1790-06-17 00:00:00
Abiel Foster,,1735-08-08 00:00:00
Abigail Fillmore,Abigail Powers,1798-03-13 00:00:00
"Abigail ""Nabby"" Adams Smith",,1765-07-14 00:00:00
Abigail Fillmore,Abigail Powers,1798-03-13 00:00:00
Abigail Adams,Abigail Smith,1744-11-11 00:00:00
Abijah Bigelow,,1775-12-05 00:00:00
Abigail Seldin,Abigail Pamela Seldin,
Abiram Chamberlain,,"December 7, 1837"
Abner Mikva,Abner Joseph Mikva,1926-01-21 00:00:00
Abijah Gilbert,,1806-06-18 00:00:00
Abner Coburn,,1803-03-22 00:00:00
Abner Nash,,1740-08-08 00:00:00
Abolhassan Banisadr,,1933-03-22 00:00:00
Abner Lacock,,1770-07-09 00:00:00
Abner Taylor,,1829-01-19 00:00:00
Abraham Ribicoff,Abraham Alexander Ribicoff,1910-04-09 00:00:00
Abraham Asscher,,1880-09-19 00:00:00
Abraham Bedford Venable,,1758-11-20 00:00:00
Abraham B. Gardner,,1819-09-02 00:00:00
Abraham Baldwin,,"November 22, 1754"
Abraham Beame,Abraham David Birnbaum,1906-03-20 00:00:00
Abraham Bockee,,"February 3, 1784"
Abraham Benjamin Conger,Abraham Benjamin Conger,1887-07-14 00:00:00
Abraham Clark,,1726-02-15 00:00:00
Abraham C. Cuyler,,1742-04-11 00:00:00
Abraham Bruyn Hasbrouck,,"November 29, 1791"
Abraham J. Multer,,1900-12-24 00:00:00
Abraham Henry Schenck,,1775-01-22 00:00:00
Abraham G. Lansing,Abraham Gerritse Lansing,1756-12-12 00:00:00
Abraham Kurkindolle Allison,,"December 10, 1814"
Abraham Gouverneur,,1671
Abraham Gottlob Werner,,25 September 1749
Abraham Kuyper,Abraham Kuijper,1837-10-29 00:00:00
Abraham Lansing,,1835-02-27 00:00:00
Abraham Lincoln,,1744-05-13 00:00:00
Abraham McClellan,,
Abraham Luya,Abraham Fleetwood Luya,1837
Abraham Lincoln Freedman,Abraham Lincoln Freedman,1904-11-19 00:00:00
Abraham McClellan,,1789-10-04 00:00:00
Abraham Lincoln Marovitz,Abraham Lincoln Marovitz,1905-08-10 00:00:00
Abraham Ribicoff,Abraham Alexander Ribicoff,1910-04-09 00:00:00
Abraham Nott,,1768-02-05 00:00:00
Abraham O. Smoot,Abraham Owen Smoot,1815-02-17 00:00:00
Abraham Riker Lawrence,,1832-09-19 00:00:00
Abraham Riker Lawrence,,1832-09-19 00:00:00
Abraham Schermerhorn,,"April 9, 1783"
Abraham Shepherd,,1776-08-13 00:00:00
Abraham Van Vechten,,1762-12-05 00:00:00
Abraham Van Buren II,,1807-11-27 00:00:00
Abraham Van Buren,,1737-02-17 00:00:00
Abraham Van Vorhes,,1793-12-02 00:00:00
Abraham Ten Broeck,,1734-05-13 00:00:00
Abraham Yates Jr.,,"August 23, 1724"
Abraham de Peyster,,"July 8, 1657"
Abram Garfield,,1872-11-21 00:00:00
Abram A. Hammond,,"March 21, 1814"
Abram McCormick Fridley,,"May 1, 1817"
Abram Orpen Moriarty,,1830
Abram I. Elkus,,1867-08-06 00:00:00
Abram Hewitt,Abram Stevens Hewitt,1822-07-31 00:00:00
Abram Poindexter Maury (Pronounced MUR-ree),,"December 26, 1801"
Abram Penn Staples,Abram Penn Staples,1885-09-18 00:00:00
Abram Penn Staples,Abram Penn Staples,1885-09-18 00:00:00
Abram P. Williams,,1832-02-03 00:00:00
Abram Hewitt,Abram Stevens Hewitt,1822-07-31 00:00:00
Abram W. Foote,,1862-10-24 00:00:00
Abram Wakeman,,1824-05-31 00:00:00
Abram Poindexter Maury (Pronounced MUR-ree),,"December 26, 1801"
Abram Trigg,,1750
Absalom Koiner,,1824-08-05 00:00:00
Abubakar Kyari,,1964-01-01 00:00:00
Abu Sadat Mohammad Sayem,,1916-03-29 00:00:00
Abu Sayeed Chowdhury,আবু সাঈদ চৌধুরী,1921-01-31 00:00:00
Abubakar Dangiwa Umar,,1949-09-21 00:00:00
Iya Abubakar,,1934-12-13 00:00:00
Abuzed Dorda ,,1944-04-04 00:00:00
Abul Hasnat Muhammad Qamaruzzaman,আবুল হাসনাত মোহাম্মদ কামারুজ্জামান,1926
Abul Kalam Azad,,26 November 1950
Achille Peretti,,1911-06-13 00:00:00
Achille Van Acker,,1898-04-08 00:00:00
Achim Steiner,,17 May 1961
,,
Adèle Cutts Douglas,,"December 27, 1835 "
Acton Smee Ayrton,,5 August 1816
Ada L. Smith,,1945-04-18 00:00:00
Ad Melkert,Adrianus Petrus Wilhelmus Melkert,1956-02-12 00:00:00
Ada L. Smith,,1945-04-18 00:00:00
Adalberto Jordan,Adalberto Jose Jordan,1961-12-07 00:00:00
Ada Watson,Ada Jane Low,1855-02-04 00:00:00
Adam Badeau,,1831-12-29 00:00:00
Adam C. Cliffe,Adam C. Cliffe,1869-06-25 00:00:00
Sir Adam Butler,,11 October 1931
Adam Driggs,Adam Dorsey Driggs,1965-04-22 00:00:00
Adam Botana,,1984-04-27 00:00:00
Adam E. Namm,,1963 (age 58–59)
Adam Edelen,,1974-11-26 00:00:00
Adam Clayton Powell IV,Adam Clayton Powell Diago,July 1962 (age 59)
Adam Clayton Powell,,1908-11-29 00:00:00
Adam Habib,,1965 (age 56–57)
Adam H. Sterling,,1960 (age 61–62)
Adam Ferguson,,1723-07-01 00:00:00
Adam Hamilton,,1880-08-20 00:00:00
Adam Hart-Davis,,1943-07-04 00:00:00
Adam Holloway,,", "
Adam Ingram,,1951-05-01 00:00:00
Adam Herbert,,1943-12-01 00:00:00
Adam Ingram,,1951-05-01 00:00:00
Adam Ingram,,1947-02-01 00:00:00
Adam Martin Wyant,,"September 15, 1869"
Adam Kline,Adam Daniel Kline,1944-10-27 00:00:00
Adam Neylon,,1984-12-30 00:00:00
Adam McMullen,,1872-06-12 00:00:00
Adam Opel,,1837-05-09 00:00:00
Adam E. Namm,,1963 (age 58–59)
Adam Norrie,,1796-02-13 00:00:00
Adam Hollier,,", "
Adam Ravenstahl,,1984-11-09 00:00:00
Adam Ward Rome,,1970-11-13 00:00:00
Adam Rosendale,,", U.S."
Adam Schantz,,1819-10-09 00:00:00
Adam Silver,,1962-04-25 00:00:00
Adam Thomas,,", U.S."
Adam Smith,David Adam Smith,1965-06-15 00:00:00
Adam W. Snyder,,1799-10-06 00:00:00
Adam Smith,, 16 June [
Adam Walker,Adam Walker,1829
Adam Walker,,1969-04-01 00:00:00
Adame Ba Konaré,,1949-09-22 00:00:00
Adamantios Androutsopoulos,,20 August 1919
Adama Dieng,,
Adam von Trott zu Solz,,1909-08-09 00:00:00
sir Riley Robert Archibald,,1814-05-03 00:00:00
Muhammad Adamu Aliero,,1957-01-01 00:00:00
Addison Mizner,,1872-12-12 00:00:00
Addison C. Harris,Addison Clay Harris,1840-10-01 00:00:00
Addison E. Southard,,1884-10-18 00:00:00
Addison Gardner Foster,,1837-01-28 00:00:00
Addison Cook Niles,,1832-07-22 00:00:00
Addison Gardiner,,1797-03-19 00:00:00
Addison S. McClure,,"October 10, 1839"
Jack Randall,Addison Byron Owen Randall,1906-05-12 00:00:00
Adebayo Hamed Lawal,,1941-09-14 00:00:00
Addison T. Smith,Addison Taylor Smith,"September 5, 1862"
Adekunle Shamusideen Lawal,,1934-02-08 00:00:00
,,Adedapo Adewale Tejuoso
Adekunle Fajuyi,,26 June 1926
The Earl Brownlow,,19 August 1844
Adele Khoury Graham,Adele Khoury,1938-04-04 00:00:00
Adele Astaire,Adele Marie Austerlitz,1896-09-10 00:00:00
Adele Carles,Adele Simone Carles,1968-02-19 00:00:00
Adelbert Ames,,1835-10-31 00:00:00
Adelheid von Rothschild,,1853-08-19 00:00:00
Adelicia Acklen,Adelicia Hayes,"March 15, 1817"
 Adeyemo Alakija,Placido Assumpcao,1884-05-25 00:00:00
Adelino Amaro da Costa,,1943-04-18 00:00:00
Adelino da Palma Carlos,,1905-05-03 00:00:00
Adeline Trafton,,
Adin B. Capron,,1841-01-09 00:00:00
Adina Bastidas,,1943-06-11 00:00:00
Adetunji Idowu Ishola Olurin,,1944-12-03 00:00:00
Adetokunbo Kayode,,1960-10-31 00:00:00
Adella Brown Bailey,Adella Brown,1860-02-08 00:00:00
Adiel F. Stewart,,1897-01-18 00:00:00
Adlai Stevenson,Adlai Ewing Stevenson,1835-10-23 00:00:00
Adlai Stevenson III,Adlai Ewing Stevenson III,1930-10-10 00:00:00
Adlai Stevenson IV,Adlai Ewing Stevenson IV,1956-11-04 00:00:00
Adly Mansour,,1945-12-23 00:00:00
Adolf A. Berle,"Adolf Augustus Berle, Jr.",1895-01-29 00:00:00
Adolf A. Berle,"Adolf Augustus Berle, Jr.",1895-01-29 00:00:00
Adolf Schärf,,1890-04-20 00:00:00
Adolf Ogi,,1942-07-18 00:00:00
Adolf Bastian,,1826-06-26 00:00:00
Adolf Hitler,,1889-04-20 00:00:00
Adolph A. Hoehling Jr.,Adolph August Hoehling Jr.,1868-11-03 00:00:00
Adolfo Carriòn,,1961-03-06 00:00:00
Adolf Wagner,,1890-10-01 00:00:00
Adolfo Rodríguez Saá,,1947-07-25 00:00:00
Adolf von Brauchitsch,,1876-11-07 00:00:00
Adolfo Carriòn,,1961-03-06 00:00:00
Adolfo Carriòn,,1961-03-06 00:00:00
Adolph J. Sabath,Adolph Joachim Sabath,1866-04-04 00:00:00
Adolph Dubs,,1920-08-04 00:00:00
Adolph Borie,Adolph Edward Borie,1809-11-25 00:00:00
Adolf Wild von Hohenborn,,8 July 1860
Adolph Olson Eberhart,,1870-06-30 00:00:00
Adolph Sutro,Adolph Heinrich Joseph Sutro,1830-04-29 00:00:00
Sir Adolphe-Philippe Caron,Joseph-Philippe-René-Adolphe Caron,1843-12-24 00:00:00
Adolphe Guillet dit Tourangeau,,1831-01-15 00:00:00
Adolph Ochs,Adolph Simon Ochs,1858-03-12 00:00:00
Adolphe de Chambrun,,"August 10, 1831"
Adolphus Frederic St. Sure,Adolphus Frederic St. Sure,1869-03-09 00:00:00
Adolphus Barton,Adolphus Henry Everand Barton,1846
Adolphus P. Nelson,,1872-03-28 00:00:00
Adolphus W. Burtt,,1832-05-28 00:00:00
Adoniram Judson Warner,,1834-01-13 00:00:00
Adone Zoli,,1887-12-16 00:00:00
Adonijah Strong Welch,,1821-04-12 00:00:00
Adonis Georgiadis,,6 November 1972
Adoniram Judson Holmes,,"March 2, 1842"
Adrian A. Basora,,1938-07-18 00:00:00
Adrian Benepe,,1957-03-08 00:00:00
Adriaan Quirinus Hendrik Dijxhoorn,,10 September 1889
Adrian Bennett,,1933-01-21 00:00:00
Adri van Es,Adrianus van Es,1913-04-28 00:00:00
Adrian Bailey,,1945-12-11 00:00:00
Adrian Joseph Caillouet,Adrian Joseph Caillouet,1883-02-19 00:00:00
Adrian Flook,,1963-07-09 00:00:00
Sir Adrian Baillie,Adrian William Maxwell Baillie,1898-05-05 00:00:00
Adrian Gibson,,1935-11-03 00:00:00
Adrian Anthony Spears,Adrian Anthony Spears,1910-07-08 00:00:00
Adrian Sanders,,1959-04-25 00:00:00
Adrian Slade,,1936-05-25 00:00:00
Adrianne Todman,,
Adriano Mastrangelo,,1919-02-08 00:00:00
Adrien Marquet,,1884-10-06 00:00:00
Adrien Meunier,,24 December 1905
Adrienne Jones,,1954-11-20 00:00:00
Adrienne Adams,,1960-12-09 00:00:00
Sir Adrian Knox,,29 November 1863
Adrienne Morrison,Mabel Adrienne Morrison,1883-03-01 00:00:00
Adrian Ramsay,,1981 (age 40–41)
Adrienne Benavidez,,1953/1954 (age 67–68)
Adrienne Galanek,,
Adrienne Clarkson,Adrienne Louise Poy,1939-02-10 00:00:00
Adrienne Nelson,,1967 (age 54–55)
Adrienne Southworth,,
Adrienne de Noailles,,1759-11-02 00:00:00
Adriano Moreira,Adriano José Alves Moreira,1922-09-06 00:00:00
Ian Frederick Adukwei Hesse,Ian Frederick Adukwei Hesse,
Aduke Alakija,Jaiyeola Aduke Alakija,March 1921
Adrienne S. O'Neal,,1954 (age 67–68)
Aedanus Burke,,"June 16, 1743"
Aenne Brauksiepe,,1912-02-23 00:00:00
Aerin Lauder Zinterhofer,Aerin Rebecca Lauder,1970-04-23 00:00:00
Aftab Ahmad Khan Sherpao,,1944-08-20 00:00:00
Aftab Shahban Mirani,,
Aftab Seth,,1943-09-17 00:00:00
Afsaruddin Ahmad Khan,আফসার উদ্দিন আহমেদ খাঁন,1940
Adye Douglas,,1815-05-31 00:00:00
Aftab Siddiqui,,
Afakriya Gadzama,,1953-11-22 00:00:00
Afzal Khan,,1958-04-05 00:00:00
Agata Buzek,Agata Bronisława Buzek,1976-09-20 00:00:00
Agar Wynne,,1850-07-15 00:00:00
Agazio Loiero,,1940-01-14 00:00:00
Agnes Baggett,,"April 9, 1905 "
Agnès Buzyn,,1962-11-01 00:00:00
The Countess Fife,,12 May 1829
Agnes E. Meyer,Agnes Elizabeth Ernst,"January 2, 1887"
Agha Siraj Durrani ,,1953
Agnes Taubert,Agnes Marie Constanze Taubert,1844-01-07 00:00:00
Agnes Mary Claypole Moody,Agnes Mary Claypole,1870-01-01 00:00:00
The Baroness Macdonald of Earnscliffe,Susan Agnes Bernard,1836-08-24 00:00:00
Agnes Ward White,,1857
Agatha Barbara,,1923-03-11 00:00:00
Henry Lawrence Burnett,,1838-12-26 00:00:00
Agnes Kant,Agnes Catharina Kant,1967-01-20 00:00:00
The Countess Fife,,12 May 1829
The Viscount Halifax,Charles Lindley Wood,1839-06-07 00:00:00
Agnes Weston,Agnes Louisa Steuart,1879-01-18 00:00:00
Agnes van Ardenne,Anna Maria Agnes van der Hoeven,1950-01-21 00:00:00
Ahmad Alamolhoda,,1944-09-01 00:00:00
Ahiman Louis Miner,,1804-09-23 00:00:00
Agustín Carstens,,1958-06-09 00:00:00
Agostino Gambino,,6 July 1933
Ahmad Bashah Md Hanipah,Ahmad Bashah bin Md Hanipah,1950-10-10 00:00:00
Agnese Landini,,1976-11-11 00:00:00
Ahmad Tavakkoli,,1951-03-05 00:00:00
Ahmad Mukhtar,,1946-06-22 00:00:00
Ahmad Allam-Mi,,
Ahmad Jazlan Yaakub,Ahmad Jazlan bin Yaakub,1964-08-30 00:00:00
Ahiman Louis Miner,,1804-09-23 00:00:00
Ahmad Khorram,Ahmad Khorram,1950 (age 71–72)
Umaru Fintiri,,1967-10-27 00:00:00
Ahmed Hussen,,1976 (age 45–46)
