name,full_name,born
Álvaro Arzú Escobar,Álvaro Enrique Arzú Escobar,1985-02-27 00:00:00
Álvaro Nadal,,1970-01-30 00:00:00
,,
Álida España,Álida España,12 April 1924
Álvaro Santos Pereira,,1972-01-07 00:00:00
Ángel Acebes Paniagua,Ángel Acebes Paniagua,1958-07-03 00:00:00
Árpád Göncz,,1922-02-10 00:00:00
Åsa Regnér,,1964-08-26 00:00:00
Ángel Rozas,,1950-03-22 00:00:00
Álvaro de Miranda,Álvaro Affonso de Miranda Neto,1973-02-05 00:00:00
Willem 's Gravesande,,26 September 1688
,,
Álvaro Colom,Álvaro Colom Caballeros,1951-06-15 00:00:00
,,
Åslaug Haga,,1959-10-21 00:00:00
Åshild Hauan,,1941-04-20 00:00:00
Åse Kleveland,,
Ève Curie,,1904-12-06 00:00:00
Ángel Cabrera,,1967-08-05 00:00:00
Édith Cresson,Édith Campion,1934-01-27 00:00:00
Éamon Ó Cuív,,1950-06-23 00:00:00
Édouard Alphonse James de Rothschild,,1868-02-24 00:00:00
Édouard Daladier,,1884-06-18 00:00:00
Édouard Henri Jean Bonnefous,,1907-08-24 00:00:00
Édouard Balladur,Édouard Léon Raoul Balladur,1929-05-02 00:00:00
Édouard Philippe,Édouard Charles Philippe,1970-11-28 00:00:00
Édouard Herriot,,1872-07-05 00:00:00
Édouard de Rothschild,Édouard Étienne Alphonse de Rothschild,1957-12-27 00:00:00
Édouard-Émery Richard,,1844-03-14 00:00:00
Éleuthère Irénée du Pont,Éleuthère Irénée du Pont de Nemours,1771-06-24 00:00:00
Élie de Rothschild,,1917-05-29 00:00:00
Émile Durkheim,David Émile Durkheim,1858-04-15 00:00:00
Élisabeth Badinter,Élisabeth Bleustein-Blanchet,5 March 1944
Élisabeth Borne,,1961-04-18 00:00:00
Émile Zuccarelli,,1940-08-04 00:00:00
Élisabeth Morin-Chartier,,1947-10-10 00:00:00
Élise Fajgeles,,1970-07-06 00:00:00
Élisabeth Guigou,Élisabeth Vallier,1946-08-06 00:00:00
Émile Pelletier,,1898-02-11 00:00:00
Émile Noël,,1922-11-17 00:00:00
Émilie du Châtelet,,1706-12-17 00:00:00
Éric Coquerel,,1958-12-30 00:00:00
Éric Berdoati,,1964-05-09 00:00:00
Éric Dupond-Moretti,,1961-04-20 00:00:00
Éric Woerth,,1956-01-29 00:00:00
Éric Woerth,,1956-01-29 00:00:00
Éric Besson,,1958-04-02 00:00:00
Éric de Rothschild,,3 October 1940
The Count Davignon,,1932-10-04 00:00:00
Étienne Geoffroy Saint-Hilaire,,15 April 1772
Étienne Tshisekedi,Étienne Tshisekedi wa Mulumba,1932-12-14 00:00:00
The Baron of Claret,Íñigo Méndez de Vigo Montojo,1956-01-21 00:00:00
Évelyne Pisier,,1941-10-18 00:00:00
Íñigo de la Serna,Íñigo Joaquín de la Serna Hernáiz,1971-01-10 00:00:00
Óscar Arias,Óscar Arias Sánchez,1940-09-13 00:00:00
Óscar Berger,,1946-08-11 00:00:00
Óscar Humberto Mejía Víctores,,1930-12-09 00:00:00
Óscar Arias,Óscar Arias Sánchez,1940-09-13 00:00:00
Óscar Chinchilla,,1969-10-21 00:00:00
Óscar Humberto Mejía Víctores,,1930-12-09 00:00:00
Östen Elfving,,1874-05-25 00:00:00
Óscar Mendoza Azurdia,,1917-06-04 00:00:00
Øyvind Korsberg,,1960-01-31 00:00:00
Štefan Füle,,1962-05-24 00:00:00
Hazel Guggenheim King-Farlow McKinley,Barbara Hazel Guggenheim,1903-04-30 00:00:00
,,
Aida Álvarez,,1950 (age 71–72)
Doc Ames,Albert Alonzo Ames,1842-01-18 00:00:00
A. A. Gill,,1954-06-28 00:00:00
A. T. Smith,,", "
Doc Ames,Albert Alonzo Ames,1842-01-18 00:00:00
A.W. Dirlam,,1913-10-20 00:00:00
A. Andrew Hauk,Aloysius Andrew Hauk,1912-12-29 00:00:00
A. B. Dilworth,,"December 14, 1814"
A. Amirthalingam,,1927-08-26 00:00:00
A. B. Swindell,Albin Blount Swindell IV,1945-10-14 00:00:00
A. Bartlett Giamatti,Angelo Bartlett Giamatti,1938-04-04 00:00:00
A. C. Bearss,,
Addison Crandall,,"July 9, 1825"
Abel Carter Wilder,,1828-03-18 00:00:00
A. C. Lyles,Andrew Craddock Lyles Jr.,1918-05-17 00:00:00
"A. Carville Foster, Jr.",,1932-10-21 00:00:00
A. Devitt Vanech,Augustus Devitt Vanech,1906-03-26 00:00:00
A. F. M. Ahsanuddin Chowdhury,,1915-07-01 00:00:00
A. F. Maciejewski,,1893-01-03 00:00:00
Dr. Anderson Doniphan Rice,,1818-02-02 00:00:00
A. F. Summer,Albioun Fernando Summer,1921-11-02 00:00:00
Arthur Harry Moore,,"July 3, 1877"
Aaron Homer Byington,,1826-07-26 00:00:00
A. J. McNamara,Abel John McNamara,1936-06-09 00:00:00
A. G. Lancione,,1907-02-12 00:00:00
A. H. Greenhalgh,,
A. Hyatt Smith,Abraham Hyatt Smith,1814-02-05 00:00:00
A. James Barnes,,1942-08-30 00:00:00
A. James Manchin,Antonio James Manchin,1927-04-07 00:00:00
A. Jeff McLemore,,"March 13, 1857"
Joe Canada,Andrew Joseph Canada Jr.,1939-05-08 00:00:00
A. J. Mundella,,1825-03-28 00:00:00
A. Joseph DeNucci,,1939-08-30 00:00:00
A. K. Balan,,1948-08-03 00:00:00
A. Keith Bissell,,1941-12-03 00:00:00
Allah Bukhsh Karim Bukhsh Brohi,,1915
A. Joe Fish,Allen Joe Fish,1942-11-12 00:00:00
