name,citizenship,position,organization
 Salvatore Rossi,ITA,Senior Deputy Governor, Bank of Italy
 Baiba A. Rubesa,LVA,CEO, RB Rail AS
 Robert E. Rubin,USA,Co-Chairman Emeritus, Council on Foreign Relations; Former Treasury Secretary
 Amber Rudd,GBR,MP; Former Secretary of State, Home Department
 Mark Rutte,NLD,Prime Minister,
 Michael Sabia,CAN,President and CEO, Caisse de dépôt et placement du Québec
 Karim Sadjadpour,USA,Senior Fellow, Carnegie Endowment for International Peace
 Soraya Sáenz de Santamaría,ESP,Deputy Prime Minister,
 John Sawers,GBR,Chairman and Partner, Macro Advisory Partners
 Nadia Schadlow,USA,Former Deputy National Security Advisor for Strategy,
 Johann N. Schneider-Ammann,CHE,Federal Councillor,
 Rudolf Scholten,AUT,President, Bruno Kreisky Forum for International Dialogue
 Radoslaw Sikorski,POL,Senior Fellow, Harvard University; Former Minister of Foreign Affairs
 Mehmet Simsek,TUR,Deputy Prime Minister,
 Hanne Skartveit,NOR,Political Editor, Verdens Gang
 Jens Stoltenberg,INT,Secretary General, NATO
 Lawrence H. Summers,USA,Charles W. Eliot University Professor, Harvard University
 Peter Thiel,USA,President, Thiel Capital
 Jakob Haldor Topsøe,DNK,Chairman, Haldor Topsøe Holding A/S
 Matthew Turpin,USA,Director for China, National Security Council
 Björn Wahlroos,FIN,Chairman, Sampo Group
 Marcus Wallenberg,SWE,Chairman, Skandinaviska Enskilda Banken AB
 Ngaire Woods,GBR,Dean, Blavatnik School of Government
 Murat Yetkin,TUR,Editor-in-chief, Hürriyet Daily News
 Gerhard Zeiler,AUT,President, Turner International
