name,citizenship,position,organization
Henri de Castries, FRA,President of Institut Montaigne; Former Chairman and CEO,AXA
 Paul M. Achleitner,DEU ,Chairman of the Supervisory Board, Deutsche Bank AG; Treasurer
 Andrew Adonis,GBR ,Chair, National Infrastructure Commission
 Marcus Agius,GBR ,Chairman, PA Consulting Group
 Mustafa Akyol,TUR ,Senior Visiting Fellow, Freedom Project at Wellesley College
 Kjetil B. Alstadheim,NOR ,Political Editor, Dagens Næringsliv
 Roger C. Altman,USA ,Founder and Senior Chairman, Evercore
 José Luis Arnaut,PRT ,Managing Partner, CMS Rui Pena & Arnaut
 José M. Durão Barroso,PRT ,Chairman, Goldman Sachs International
 Oliver Bäte,DEU ,CEO, Allianz SE
 Werner Baumann,DEU ,Chairman, Bayer AG
 Nicolas Baverez,FRA ,Partner, Gibson
 René Benko,AUT ,Founder and Chairman of the Advisory Board, SIGNA Holding GmbH
 Anne-Catherine Berner,FIN ,Minister of Transport and Communications,
 Ana P. Botín,ESP ,Executive Chairman, Banco Santander
 Svein Richard Brandtzæg,NOR ,President and CEO, Norsk Hydro ASA
 John O. Brennan,USA ,Senior Advisor, Kissinger Associates Inc.
 Frank Bsirske,DEU ,Chairman, United Services Union
 Thomas Buberl,FRA ,CEO, AXA
 M. Elaine Bunn,USA ,Former Deputy Assistant Secretary of Defense,
 William J. Burns,USA ,President, Carnegie Endowment for International Peace
 Levent Çakiroglu,TUR ,CEO, Koç Holding A.S.
 Cansu Çamlibel,TUR ,Washington DC Bureau Chief, Hürriyet Newspaper
 Juan Luis Cebrián,ESP ,Executive Chairman, PRISA and El País
 Kristin Clemet,NOR ,CEO, Civita
 David S. Cohen,USA ,Former Deputy Director, CIA
 Patrick Collison,USA ,CEO, Stripe
 Tom Cotton,USA ,Senator,
 Tiankai Cui,CHN ,Ambassador to the United States,
 Mathias Döpfner,DEU ,CEO, Axel Springer SE
 John Elkann,ITA ,Chairman, Fiat Chrysler Automobiles
 Thomas Enders,DEU ,CEO, Airbus SE
 Ulrik Federspiel,DNK ,Group Executive, Haldor Topsøe Holding A/S
 Jr. Ferguson,USA ,President and CEO, TIAA
 Niall Ferguson,USA ,Senior Fellow, Hoover Institution
 Fabiola Gianotti,ITA ,Director General, CERN
 Sandro Gozi,ITA ,State Secretary for European Affairs,
 Lindsey Graham,USA ,Senator,
 Evan G. Greenberg,USA ,Chairman and CEO, Chubb Group
 Kenneth Griffin,USA ,Founder and CEO, Citadel Investment Group
 Lilli Gruber,ITA ,"Editor-in-Chief and Anchor ""Otto e mezzo""", La7 TV
" Luis de 
Guindos",ESP ,Minister of Economy, Industry and Competitiveness
 Avril D. Haines,USA ,Former Deputy National Security Advisor,
 Victor Halberstadt,NLD ,Professor of Economics, Leiden University; 
 Ralph Hamers,NLD ,Chairman, ING Group
 Connie Hedegaard,DNK ,Chair, KR Foundation
 Jeanine Hennis-Plasschaert,NLD ,Minister of Defence, The Netherlands
 Mellody Hobson,USA ,President, Ariel Investments LLC
 Reid Hoffman,USA ,Co-Founder, LinkedIn and Partner
 Nicholas Houghton,GBR ,Former Chief of Defence,
 Wolfgang Ischinger,INT ,Chairman, Munich Security Conference
 Kenneth M. Jacobs,USA ,Chairman and CEO, Lazard
 James A. Johnson,USA ,Chairman, Johnson Capital Partners
 Jr. Jordan,USA ,Senior Managing Director, Lazard Frères & Co. LLC
 Alex Karp,USA ,CEO, Palantir Technologies
 Carsten Kengeter,DEU ,CEO, Deutsche Börse AG
 Henry A. Kissinger,USA ,Chairman, Kissinger Associates Inc.
 Susanne Klatten,DEU ,Managing Director, SKion GmbH
 Klaus Kleinfeld,USA ,Former Chairman and CEO, Arconic
 Klaas H.W. Knot,NLD ,President, De Nederlandsche Bank
 Ömer M. Koç,TUR ,Chairman, Koç Holding A.S.
 Stephen Kotkin,USA ,Professor in History and International Affairs, Princeton University
 Henry R. Kravis,USA ,Co-Chairman and Co-CEO, KKR
 Marie-Josée Kravis,USA ,Senior Fellow, Hudson Institute; President
 André Kudelski,CHE ,Chairman and CEO, Kudelski Group
 Christine Lagarde,INT ,Managing Director, International Monetary Fund
 François Lenglet,FRA ,Chief Economics Commentator, France 2
 Thomas Leysen,BEL ,Chairman, KBC Group
 Christopher Liddell,USA ,Assistant to the President and Director of Strategic Initiatives,
 Annie Lööf,SWE ,Party Leader, Centre Party
 Jessica T. Mathews,USA ,Distinguished Fellow, Carnegie Endowment for International Peace
 Terence McAuliffe,USA ,Governor of Virginia,
 David I. McKay,CAN ,President and CEO, Royal Bank of Canada
 H.R. McMaster,USA ,National Security Advisor,
 John Micklethwait,INT ,Editor-in-Chief, Bloomberg LP
 Zanny Minton Beddoes,INT ,Editor-in-Chief, The Economist
 Maurizio Molinari,ITA ,Editor-in-Chief, La Stampa
 Lisa Monaco,USA ,Former Homeland Security Officer,
 Bill Morneau,CAN ,Minister of Finance,
 Craig J. Mundie,USA ,President, Mundie & Associates
 Gene M. Murtagh,IRL ,CEO, Kingspan Group plc
 H.M. the King of the Netherlands,NLD,Author and Columnist, The Wall Street Journal
 Peggy Noonan,USA ,CEO, Ryanair D.A.C.
 Michael O'Leary,IRL ,Editor, London Evening Standard
 George Osborne,GBR ,Executive Editor, Kathimerini Newspaper
 Alexis Papahelas,GRC ,CEO, Titan Cement Co.
 Dimitri Papalexopoulos,GRC ,Chairman, KKR Global Institute
 David H. Petraeus,USA ,Minister for Higher Education and Science,
 Søren Pind,DNK ,Grand Chancellor of the Legion of Honor and Chancellor of the National Order of Merit,
 Benoît Puga,FRA ,Chief Foreign Affairs Commentator, The Financial Times
 Gideon Rachman,GBR ,Chair and CEO, Indigo Books & Music Inc.
 Heather M. Reisman,CAN ,President, Ciudadanos Party
 Albert Rivera Díaz,ESP ,Professor in Materials Physics, Linköping University
 Johanna Rosén,SWE ,Secretary of Commerce,
 Wilbur L. Ross,USA ,Co-Founder and Co-CEO, The Carlyle Group
 David M. Rubenstein,USA ,Co-Chair, Council on Foreign Relations and Former Treasury Secretary
 Robert E. Rubin,USA ,CEO, Swiss Post
 Susanne Ruoff,CHE ,Chair, Open VLD
 Gwendolyn Rutten,BEL ,CEO, Caisse de dépôt et placement du Québec
 Michael Sabia,CAN ,Chairman and Partner, Macro Advisory Partners
 John Sawers,GBR ,Deputy Assistant to the President, National Security Council
 Nadia Schadlow,USA ,Executive Chairman, Alphabet Inc.
 Eric E. Schmidt,USA ,Federal Councillor, Swiss Confederation
 Johann N. Schneider-Ammann,CHE ,President, Bruno Kreisky Forum for International Dialogue
 Rudolf Scholten,AUT ,Editor-in-Chief, 7-Corriere della Sera
 Beppe Severgnini,ITA ,Senior Fellow, Harvard University
 Radoslaw Sikorski,POL ,CEO and Founder, The Ocean Cleanup
 Boyan Slat,NLD ,Parliamentary State Secretary and Federal Ministry of Finance,
 Jens Spahn,DEU ,Chairman and CEO, AT&T
 Randall L. Stephenson,USA ,President Emeritus, SEIU and Senior Fellow
 Andrew Stern,USA ,Secretary General, NATO
 Jens Stoltenberg,INT ,Charles W. Eliot University Professor, Harvard University
 Lawrence H. Summers,USA ,Deputy Director, Fondation pour la recherche stratégique
 Bruno Tertrais,FRA ,President, Thiel Capital
 Peter Thiel,USA ,Chairman, Haldor Topsøe Holding A/S
 Jakob Haldor Topsøe,DNK ,Founding and Partner, Istanbul Economics
 Sinan Ülgen,TUR ,Chairman, Sampo Group
 Björn Wahlroos,FIN ,Chairman, Skandinaviska Enskilda Banken AB
 Marcus Wallenberg,SWE ,Editor, The Cook Political Report
 Amy Walter,USA ,CEO and Executive Chairman, Loblaw Companies Ltd and George Weston Companies
 Galen G. Weston,CAN ,Chief Executive, Ofcom
 Sharon White,GBR ,Isaiah Berlin Senior Fellow in Culture and Policy, The Brookings Institution
 Leon Wieseltier,USA ,Chief Economics Commentator, Financial Times
 Martin H. Wolf,INT ,Chairman and CEO, Wolfensohn & Company
 James D. Wolfensohn,USA ,Vice-Governor, National Bank of Belgium
 Pierre Wunsch,BEL ,President, Turner International
 Gerhard Zeiler,AUT ,Former Director, National Economic Council
 Jeffrey D. Zients,USA ,Non-Executive Chairman, AllianceBernstein L.P.
