name,citizenship,position,organization,attended_bilderberg
 Adewale Adeyemo,USA,Deputy Secretary, Department of  The Treasury,2022
 Afsin Yurdakul,TUR,Journalist, Habertürk News Network,2022
 Albert Bourla,USA,Chairman and CEO, Pfizer Inc.,2022
 Alex Karp,USA,CEO, Palantir Technologies Inc.,2022
 Ana Pinho,PRT,President and CEO, Serralves Foundation,2022
 André Kudelski,CHE,Chairman and CEO, Kudelski Group SA,2022
 Andreas Treichl,AUT,President, Chairman ERSTE Foundation,2022
 Anne Applebaum,USA,Staff Writer, The Atlantic,2022
 Ashley J. Tellis,USA,Tata Chair for Strategic Affairs, Carnegie Endowment,2022
 Audrey Azoulay,INT,Director-General, UNESCO,2022
 Beate Meinl-Reisinger,AUT,Party Leader, NEOS,2022
 Ben Hodges,USA,Pershing Chair in Strategic Studies, Center for European Policy Analysis,2022
 Ben van Beurden,NLD,CEO, Shell plc,2022
 Bernard Émié,FRA,Director General, Ministry of the Armed Forces,2022
 Bernard Looney,GBR,CEO, BP plc,2022
 Carlos Núñez,ESP,Executive Chairman, PRISA Media,2022
 Celeste Wallander,USA,Assistant Secretary of Defense for International Security Affairs,,2022
 Charles Emond,CAN,CEO, CDPQ,2022
 Charles Michel,INT,President, European Council,2022
 Chrystia Freeland,CAN,Deputy Prime Minister,,2022
 Connie Hedegaard,DNK,Chair, KR Foundation,2022
 Constanze Stelzenmüller,DEU,Fritz Stern Chair, The Brookings Institution,2022
 Craig J. Mundie,USA,President, Mundie & Associates LLC,2022
 David H. Petraeus,USA,Chairman, KKR Global Institute,2022
 David Lammy,GBR,Shadow Secretary of State for Foreign, Commonwealth and Development Affairs,2022
 Demis Hassabis,GBR,CEO and Founder, DeepMind,2022
 Didier Reynders,INT,European Commissioner for Justice,,2022
 Dimitri Papalexopoulos,GRC,Chairman, TITAN Cement Group,2022
 Diogo Salvi,PRT,Co-Founder and CEO, TIMWE,2022
 Elizabeth Economy,USA,Senior Advisor for China, Department of Commerce,2022
 Emma Walmsley,GBR,CEO, GlaxoSmithKline plc,2022
 Emre Erdogan,TUR,Professor Political Science, Istanbul Bilgi University,2022
