name,citizenship,position,organization,attended_bilderberg
 Eric E. Schmidt,USA,Former CEO and Chairman, Google LLC,2022
 Erkki Liikanen,FIN,Chairman, IFRS  Foundation Trustees,2022
 Francesco Starace,ITA,CEO, Enel S.p.A.,2022
 Gideon Rachman,GBR,Chief Foreign Affairs Commentator, The Financial Times,2022
 Gina M. Raimondo,USA,Secretary of Commerce,,2022
 Grace Reksten Skaugen,NOR,Board Member, Investor AB,2022
 Henry A. Kissinger,USA,Chairman, Kissinger Associates Inc.,2022
 Henry R. Kravis,USA,Co-Chairman, KKR & Co. Inc.  ,2022
 Ida Auken,DNK,Member of Parliament, The Social Democrat Party,2022
 Isabel Furtado,PRT,CEO, TMG Automotive,2022
 Jake Sullivan,USA,Director, National Security Council,2022
 James H. Baker,USA,Director, Office of Net Assessment,2022
 Jean Marc Huët,NLD,Chairman, Heineken NV,2022
 Jen Easterly,USA,Director, Cybersecurity and Infrastructure Security Agency,2022
 Jens Stoltenberg,INT,Secretary General, NATO,2022
 Jeremy Fleming,GBR,Director, British Government Communications Headquarters,2022
 John Sawers,GBR,Executive Chairman, Newbridge Advisory Ltd.,2022
 Jörg Kukies,DEU,State Secretary, Chancellery,2022
 José Luís Arnaut,PRT,Managing Partner, CMS Rui Pena & Arnaut,2022
 José Manuel Albares,ESP,Minister of Foreign Affairs, European Union and Cooperation,2022
 José Manuel Barroso,PRT,Chairman, Goldman Sachs International LLC,2022
 Kaius Niemi,FIN,Senior Editor-in-Chief, Helsingin Sanomat Newspaper,2022
 Kevin Scott,USA,CTO, Microsoft Corporation,2022
 Kurt Campbell,USA,White House Coordinator for Indo-Pacific, NSC,2022
 Kyriakos Pierrakakis,GRC,Minister of Digital Governance,,2022
 Kyrsten Sinema,USA,Senator,,2022
 Lena Hallengren,SWE,Minister for Health and Social Affairs,,2022
 Livia Leu,CHE,State Secretary, Federal Department of Foreign Affairs,2022
 Marcus Wallenberg,SWE,Chair, Skandinaviska Enskilda Banken AB,2022
 Margaritis Schinas,INT,Vice President, European Commission,2022
 Marie-Josée Kravis,USA,Co-Chair Bilderberg Meetings; Chair, The Museum of Modern Art,2022
 Mark J. Carney,CAN,Vice Chair, Brookfield Asset Management,2022
 Mark Little,CAN,President and CEO, Suncor Energy Inc.,2022
 Mark Rutte,NLD,Prime Minister,,2022
 Mark Sedwill,GBR,Chairman, Atlantic Futures Forum,2022
 Markos Veremis,GRC,Co-Founder and Chairman, Upstream,2022
 Martin Krasnik,DNK,Editor-in-Chief, Weekendavisen,2022
 Martin Lundstedt,SWE,CEO and President, Volvo Group,2022
 Mary Kay Henry,USA,International President, Service Employees International Union,2022
 Mathias Döpfner,DEU,Chairman and CEO, Axel Springer SE,2022
 Mellody Hobson,USA,Co-CEO and President, Ariel Investments LLC,2022
 Michael Gove,GBR,Secretary of State for Levelling Up, Cabinet Office,2022
 Michael Kofman,USA,Director, Russia Studies Program,2022
 Michael Mullen,USA,Former Chairman of the Joint Chiefs of Staff,,2022
 Michael O'Leary,IRL,Group CEO, Ryanair Group,2022
 Mithat Rende,TUR,Member of the Board, TSKB,2022
 Murat Yetkin,TUR,Journalist/Writer, YetkinReport,2022
 Mustafa Suleyman,GBR,CEO, Inflection AI,2022
 Nadia Schadlow,USA,Senior Fellow, Hudson Institute,2022
 Nuno Sebastião,PRT,CEO, Feedzai,2022
 Oksana Markarowa,UKR,Ambassador of Ukraine to the US,,2022
 Ömer Koç,TUR,Chairman, Koç Holding AS,2022
 Øyvind Eriksen,NOR,President and CEO, Aker ASA,2022
 Pablo Casado,ESP,Former President, Partido Popular,2022
 Paschal Donohoe,IRL,Minister for Finance; President, Eurogroup,2022
 Patricia Barbizet,FRA,Chairwoman and CEO, Temaris & Associés SAS,2022
 Patrick Pouyanné,FRA,Chairman and CEO, TotalEnergies SE,2022
 Paul M. Achleitner,DEU,Former Chairman Supervisory Board, Deutsche Bank AG; Treasurer Bilderberg Meetings,2022
 Peter Thiel,USA,President, Thiel Capital LLC,2022
 Peter Wennink,NLD,President and CEO, ASML Holding NV,2022
 Radoslaw Sikorski,POL,MEP, European Parliament,2022
 Ralph Hamers,NLD,CEO, UBS Group AG,2022
 Reid Hoffman,USA,Co-Founder, Inflection AI; Partner,2022
 Roger C. Altman,USA,Founder and Senior Chairman, Evercore Inc.,2022
 Sam Altman,USA,CEO, OpenAI,2022
 Sanna Marin,FIN,Prime Minister,,2022
 Sergio Ermotti,CHE,Chairman, Swiss Re,2022
 Shashank Joshi,GBR,Defence Editor, The Economist,2022
 Stefano Feltri,ITA,Editor-in-Chief, Domani,2022
 Tarun Chhabra,USA,Senior Director for Technology and National Security, National Security Council,2022
 Thomas Buberl,FRA,CEO, AXA SA,2022
 Thomas Byrne,IRL,Minister of State for European Affairs,,2022
 Thomas Leysen,BEL,Chairman, Umicore and Mediahuis; Chairman DSM N.V.,2022
 Tinne Van der Straeten,BEL,Minister for Energy,,2022
 Tobias Lütke,CAN,CEO, Shopify,2022
 Tom Tugendhat,GBR,MP; Chair Foreign Affairs Committee, House of Commons,2022
 Valérie Baudson,FRA,CEO, Amundi,2022
 Victor Halberstadt,NLD,Co-Chair Bilderberg Meetings; Professor of Economics, Leiden University,2022
 William C. Dudley,USA,Senior Research Scholar, Princeton University,2022
 William J. Burns,USA,Director, CIA,2022
 Wojciech Kostrzewa,POL,President, Polish Business Roundtable,2022
 Wopke Hoekstra,NLD,Minister of Foreign Affairs,,2022
 Yann LeCun,USA,Vice-President and Chief AI Scientist, Facebook,2022
 Yaya Fanusie,USA,Adjunct Senior Fellow, Center for a New American Security,2022
 Yuriy Vitrenko,UKR,CEO, Naftogaz,2022
 Zanny Minton Beddoes,GBR,Editor-in-Chief, The Economist,2022
