name,occupation,rhodes_scholar
Lawrence Hogben,,1938
Moses Morgan,,1938
Edgar Ritchie,,1938
Robert Gordon Robertson,,1938
Dietrich von Bothmer,,1938
Edward Weismiller,,1938
Byron White,,1938
Morris B. Abram,,1939
Bob Baker,politician,1939
Charles Collingwood,journalist,1939
Jack Davis,Canadian politician,1939
William Feindel,,1939
Paul G%C3%A9rin-Lajoie,,1939
Edward L. Hart,,1939
John Hodgetts,,1939
Thomas McGrath,poet,1939
Lionel W. McKenzie,,1939
Dom Mintoff,,1939
Fabian O%27Dea,,1939
Erich Vermehren,,1939
Claude Bertrand,neurosurgeon,1940
James Doull,,1940
James George,diplomat,1940
Arthur Harcourt,,1940
Allan Leal,,1940
Ossie Newton-Thompson,,1940
Basil Travers,,1940
Gordon Blair,politician,1941
Zelman Cowen,,1941
Jack Rumbold,,1941
Alan Stewart,educator,1941
Edwin Busuttil,,1942
George Cawkwell,,1946
Francis Patrick Donovan,,1946
Jack Ridley,engineer,1946
Hugh Stretton,,1946
Anthony van Ryneveld,,1946
Roger R. Bate,,1947
Allan Blakeney,,1947
Paul J. Bohannan,,1947
David Candler,,1947
James B. Engle,,1947
Peter W. Fay,,1947
Alastair Gillespie,,1947
James Hester,,1947
George Hilton Jones III,,1947
Nicholas Katzenbach,,1947
Spencer L. Kimball,,1947
Lovraj Kumar,,1947
Marcel Lambert,,1947
Robert Q. Marston,,1947
Bernard W. Rogers,,1947
Nicholas V. Riasanovsky,,1947
Geoffrey Serle,,1947
Edgar F. Shannon Jr.,,1947
William Jay Smith,,1947
Sandy Tatum,,1947
Dudley Thompson,,1947
Stansfield Turner,,1947
Ronald L. Barnard,,1948
William J. Becker,,1948
Eugene Burdick,,1948
Guy Davenport,,1948
John W. Douglas,,1948
Murray Hofmeyr,,1948
Piet Koornhof,,1948
Malcolm McLane,,1948
John McNaughton,government official,1948
Renfrey Potts,,1948
Eric Prabhakar,,1948
Elmer Sprague,,1948
Robert Burchfield,,1949
Creighton Burns,,1949
Barney Childs,,1949
Hugh Alexander Dunn,,1949
Peter Durack,,1949
James Greene,Canadian politician,1949
Oliver Heyward,,1949
G%C3%A9rard La Forest,,1949
Steven Muller,,1949
George Munroe,,1949
Rob Robertson-Cuninghame,,1949
George W. Rogers Jr.,,1949
W. Reece Smith Jr.,,1949
Lewis Salter,,1949
Nelson Ferebee Taylor,,1949
John Turner,,1949
Hector Wynter,,1949
Peter Hamilton Bailey,,1950
James H. Billington,,1950
Max Bingham,,1950
John Brademas,,1950
Lionel Bryer,,1950
Paul-Andr%C3%A9 Cr%C3%A9peau,,1950
Charles Till Davis,,1950
Alan Dowding,,1950
Raghavan N. Iyer,,1950
Robert K. Massie,,1950
Bruce Rosier,,1950
George Steiner,,1950
Tanjore Ramachandra Anantharaman,,1951
Thomas A. Bartlett,,1951
Julien Chouinard,,1951
Lloyd Evans,plant physiologist,1951
Richard N. Gardner,,1951
Allan Gotlieb,,1951
Stuart Hall,cultural theorist,1951
Robert J. Harris,mayor,1951
Tom Harpur,,1951
Kenneth Keniston,,1951
A. Walton Litz,,1951
John Stone,Australian politician,1951
James H. Taylor,,1951
J. Ramsey Bronk,,1952
Howard J. Burnett,,1952
Rawdon Dalrymple,,1952
Alain Enthoven,,1952
James Gobbo,,1952
George Goodman,,1952
Elliott H. Levitas,,1952
H. Ian Macdonald,,1952
John Searle,,1952
Neil Smelser,,1952
Charles Taylor,philosopher,1952
Hugh Templeton,,1952
Ronald Lampman Watts,,1952
Jean Beetz,,1953
Guido Calabresi,,1953
Edward de Bono,,1953
Michael Denborough,,1953
Ronald Dworkin,,1953
John Robert Evans,,1953
Bob Hawke,,1953
Otto Lang,,1953
Julian Ogilvie Thompson,,1953
Frank Wells,,1953
Robert Wells,Canadian politician,1953
Laurie Ackermann,,1954
David Alexander,college president,1954
Brock Brower,,1954
"Leonard Hoffmann, Baron Hoffmann",,1954
Norman Cantor,,1954
Brian Goodwin,,1954
Richard Lugar,,1954
Denis McLean,,1954
Mancur Olson,,1954
Robert Paxton,,1954
Paul Sarbanes,,1954
Francis Slaven,,1954
Dale Vesser,,1954
Diogenes Allen,,1955
D. J. R. Bruckner,,1955
Ranjit Roy Chaudhury,,1955
James Griffin,philosopher,1955
Arthur H. Hayes Jr.,,1955
Verdel Kolve,,1955
Colin Maiden,,1955
John H. Morrison,,1955
Reynolds Price,,1955
Peter H. Russell,,1955
John Winthrop Sears,,1955
Peter Serracino Inglott,,1955
Robert Solomon,politician,1955
"Johan Steyn, Baron Steyn",,1955
Gilbert Strang,,1955
Ian Wilson,politician,1955
Virendra Dayal,,1956
Thomas De Koninck,,1956
Anthony King,political scientist,1956
Arthur Kroeger,,1956
Geoff Miller,diplomat,1956
Willie Morris,,1956
Robert B. Pirie Jr.,,1956
Neil Leon Rudenstine,,1956
Edwin Yoder,,1956
Ranjit Bhatia,,1957
Bob Bilger,,1957
Neal Blewett,,1957
Glen Bowersock,,1957
Antonio Gotto,,1957
Erich S. Gruen,,1957
David Goldbloom,,1975
Griffith R. Harsh,,1975
Roy Hofheinz Jr.,,1957
Chris Maxwell,jurist,1975
Edward J. Nell,,1957
Rex Nettleford,,1957
Robert I. Rotberg,,1957
Aaron Sloman,,1957
Peter Blaikie,,1958
Alexander Fetter,,1958
John V. Fleming,,1958
Yves Fortier,lawyer,1958
Roger Howell Jr.,,1958
Jonathan Kozol,,1958
Kris Kristofferson,,1958
Manmohan Malhoutra,,1958
Mervyn Morris,,1958
Joseph Nye Jr.,,1958
Stephen Clarkson,,1959
Peter M. Dawkins,,1959
Benjamin B. Dunlap,,1959
Michael Fried,art critic,1959
John F. Helliwell,,1959
Thomas E. Hill,academic,1959
Bradley C. Hosmer,,1959
Don Mathieson,lawyer,1959
Desmond Morton,historian,1959
David Pithey,,1959
Richard E. Rubenstein,,1959
Richard Deane Terrell,,1959
Shahid Javed Burki,,1960
Richard F. Celeste,,1960
Robert Darnton,,1960
Davis Earle,,1960
John S. Grinalds,,1960
Lebrecht Wilhelm Fifi Hesse,,1960
Julian Jack,,1960
Girish Karnad,,1960
David Malcolm,,1960
Charles W. Maynes,,1960
John Andrew Rice,,1960
Lester C. Thurow,,1960
Frank Berman,,1961
Graham Bond,gymnast,1961
Angus Cameron,academic,1961
Howard D. Graves,,1961
William G. Pietersen,,1961
David Souter,,1961
Henry Vernon Wong,,1961
Eric Anthony Abrahams,,1962
Rex Adams,,1962
E. D. Berman,,1962
Brian De Garis,,1962
Rory Donnellan,,1962
John Finnis,,1962
James J. Fox,,1962
David B. Frohnmayer,,1962
Bryan Gould,,1962
David Hodgson,judge,1962
Shaukat Hameed Khan,,1962
Donald Melrose,,1962
Richard Portes,,1962
David Boren,,1963
Josiah Bunting III,,1963
George Butterfield,businessman,1963
Sheldon Chumir,,1963
John Eekelaar,,1963
Marcel Mass%C3%A9,,1963
Walter B. Slocombe,,1963
Allan Taylor,diplomat,1963
Michel Vennat,,1963
John Edgar Wideman,,1963
R. James Woolsey,,1963
Montek Singh Ahluwalia,,1964
David Baragwanath,,1964
Robin Boadway,,1964
Thomas P. Gerrity,,1964
Robert Harrison,financier,1964
Dyson Heydon,,1964
R. W. Johnson,,1964
Larry Pressler,,1964
Bill Rowe,,1964
Wasim Sajjad,,1964
James Gustave Speth,,1964
Ralph C. S. Walker,,1964
Peter H. Wood,,1964
John Adams,Canadian general,1965
Tommy Bedford,,1965
Bill Bradley,,1965
Richard Danzig,,1965
Modris Eksteins,,1965
Frederick Goldstein,,1965
John B. Ritch III,,1965
Aftab Seth,,1965
Philip Slayton,,1965
Daryl Williams,politician,1965
John J. M. Bergeron,,1966
Michael C. Bonello,,1966
Andrew Brook,,1966
Ashton Calvert,,1966
Wesley Clark,,1966
Jonathan Culler,,1966
David E. Kendall,,1966
Terrence Malick,,1966
Trevor Munroe,,1966
Wilson Parasiuk,,1966
Prabhat Patnaik,,1966
Samuel Shem,,1966
Michael Spence,,1966
Michael Teitelbaum,,1966
Richard W. Tsien,,1966
Thomas H. Allen,,1967
John Doyle,judge,1967
Peter Edwards,historian,1967
David C. Hardesty Jr.,,1967
Karl Marlantes,,1967
Deepak Nayyar,,1967
Stephen A. Oxman,,1967
Peter Wilson,"cricketer, born 1944",1967
Alan Bersin,,1968
Dennis C. Blair,,1968
Colin Bundy,,1968
Mike Burton,cricketer,1968
Peter Cameron,mathematician,1968
Bill Clinton,,1968
Peter Conrad,academic,1968
Robert Earl,U.S. Marine,1968
Boisfeuillet Jones Jr.,,1968
William A. Fletcher,,1968
Chris Laidlaw,,1968
Robert McCallum Jr.,,1968
David Millener,,1968
Rex Murphy,,1968
G. L. Peiris,,1968
Walter F. Pratt,,1968
Robert Reich,,1968
David Satter,,1968
Richard G. Stearns,,1968
Strobe Talbott,,1968
Ronald Thwaites,,1968
Jim Amoss,,1969
David Freedberg,,1969
Kenneth Hayne,,1969
Ira Magaziner,,1969
Roger B. Porter,,1969
Selwyn Maister,,1969
Michael Ponsor,,1969
Bob Rae,,1969
Kurt Schork,,1969
Danny Williams,Canadian politician,1969
David Vernon Williams,,1969
Bruce E. Cain,,1970
James Fallows,,1970
Louis Grech,,1970
Dennis J. Hutchinson,,1970
Kent M. Keith,,1970
Susan Kippax,,1970
David S. Painter,,1970
Gregory Petsko,,1970
David Quammen,,1970
Eric Redman,businessman,1970
Geoffrey Robertson,,1970
Charles A. Shanor,,1970
Patrick Shea,Utah lawyer,1970
Richard H. Trainor,,1970
James Atlas,,1971
Joseph L. Badaracco,,1971
John C. Baldwin,,1971
Jonathan Borwein,,1971
Etienne de Villiers,,1971
Stuart Hamilton,public servant,1971
Richard Lee,"cricketer, born 1950",1971
John Luik,,1971
Chris Mann,poet,1971
Thomas W. Merrill,,1971
Andrew Murray,Australian politician,1971
Roland Paver,,1971
Paul A. Rahe,,1971
Franklin Raines,,1971
Tom Sancton,,1971
Kurt Schmoke,,1971
Tom Birmingham,,1972
Christopher Cordner,,1972
Keith P. Ellison,,1972
Geoff Gallop,,1972
Lane P. Hughston,,1972
Michael Kinsley,,1972
Robert Luskin,,1972
Alan Morinis,,1972
David Skegg,,1972
Nicholas Spaeth,,1972
Kim Beazley,,1973
E. J. Dionne,,1973
Peter Gross,judge,1973
Richard N. Haass,,1973
Chris Hendrickson,,1973
Robert Joy,,1973
Frank Klotz,,1973
John Misha Petkevich,,1973
Peter M. Sacks,,1973
Alex Sceberras Trigona,,1973
Nicholas Allard,,1974
T. A. Barron,,1974
Rod Eddington,,1974
Elliot Gerson,,1974
Brian C. Griffin,,1974
Alan Hobkirk,,1974
Walter Isaacson,,1974
Charles Thomas McMillen,,1974
Mark Abley,,1975
Kwamena Ahwoi,,1975
John Bell,physician,1975
Clayton Christensen,,1975
Jim Cooper,,1975
Russ Feingold,,1975
Mike Fitzpatrick,footballer,1975
Pat Haden,,1975
Peter King,Australian politician,1975
Scott Matheson Jr.,,1975
Michael G. McCaffery,,1975
James Merrell,,1975
Michael Poliakoff,,1975
Mel Reynolds,,1975
Larry Sabato,,1975
Michael Sandel,,1975
James Basker,,1976
Hans-Paul B%C3%BCrkner,,1976
Edwin Cameron,,1976
Ash Carter,,1976
William Cronon,,1976
Ches Crosbie,,1976
John Hood,university administrator,1976
A. Douglas Stone,,1976
Salim Yusuf,,1976
Daniel Fournier,,1977
Laura Garwin,,1977
Eileen E. Gillese,,1977
Gerrit W. Gong,,1977
David Hatendi,,1977
Clay S. Jenkinson,,1977
Randall Kennedy,,1977
Michael L%27Estrange,,1976
Andrew Michelmore,,1976
Ong Teck Chin,,1976
Jonathan Ross,cricketer,1977
Richard Stengel,,1977
Hubertus van der Vaart,,1977
Beth Woods,,1977
James Belich,historian,1978
Jacques Hurtubise,mathematician,1978
Eric Lander,,1978
Anita Mehta,,1978
Loyiso Nongxa,,1978
Evelyn O%27Callaghan,,1978
Ann Olivarius,,1978
Ba%C5%86uta Rubess,,1978
Virginia A. Seitz,,1978
Lucy Sichone,,1978
Malcolm Turnbull,,1978
Doron Weber,,1978
Wendy Carlin,,1979
Nancy-Ann Min DeParle,,1979
James Der Derian,,1979
Sandra Fredman,,1979
Paul Gootenberg,,1979
Stephen Gumley,,1979
James E. K. Hildreth,,1979
Michael Hoffman,director,1979
David Lodge,biologist,1979
Robert Maloney,doctor,1979
John McCaskill,,1979
C. David Naylor,,1979
Robin Russin,,1979
Stephen K. Burley,,1980
L. Gordon Crovitz,,1980
Philip Crowe,rugby union,1980
Billy Downer,,1980
Don Elder,,1980
Clark Ervin,,1980
John MacBain,,1980
Barry Nalebuff,,1980
Max Price,,1980
Sivarasa Rasiah,,1980
Adam Rome,,1980
Mortimer Sellers,,1980
Elsdon Storey,,1980
Marc Tessier-Lavigne,,1980
Andrew Wilkinson,Canadian politician,1980
Tony Abbott,,1981
Michael H. Albert,,1981
Joel Bakan,,1981
Daniel C. Esty,,1981
Christine French,,1981
Bernard Hibbitts,,1981
Michelle D. Johnson,,1981
Nicholas D. Kristof,,1981
Donald Markwell,,1981
Elizabeth Sherwood-Randall,,1981
Simon Upton,,1981
Yolande E. Chan,,1982
Barton Gellman,,1982
Benedict Kingsbury,,1982
Bruce Reed,political operative,1982
Ricky L. Waddell,,1982
Heather Wilson,,1982
Brenda Buttner,,1983
David Celermajer,,1983
Charles R. Conn,,1983
Christopher Eisgruber,,1983
David Frederick,,1983
Bill Halter,,1983
Elizabeth Kiss,,1983
Marvin Krislov,,1983
Mark S. Martins,,1983
Lois Quam,,1983
David Vitter,,1983
John Wylie,businessman,1983
Dominic Barton,,1984
Richard Flanagan,,1984
Brian Greene,,1984
Christopher Hedrick,,1984
Elizabeth Hollingworth,,1984
Raymond Lim,,1984
Robert Malley,,1984
Hunter Monroe,,1984
Christopher J. L. Murray,,1984
Nicoli Nattrass,,1984
index.php?title=Gareth Penny&action=edit&redlink=1,,1984
Daniel R. Porterfield,,1984
Hugh Possingham,,1984
Catherine Sandoval,,1984
Craig Scott,politician,1984
Sarah Sewall,,1984
Graham Steele,,1984
George Stephanopoulos,,1984
Kevin Thurm,,1984
Michael Kilborn,,1985
David Kirk,,1985
Peter Rathjen,,1985
Naomi Wolf,,1985
Alec Cameron,academic,1986
Chen Show Mao,,1986
Bryan Horrigan,,1986
Eric Hoskins,,1986
Maurice Jones,,1986
Vivian Lee,,1986
Michael McFaul,,1986
Elliott Portnoy,,1986
Mahesh Rangarajan,,1986
Susan Rice,,1986
Ben Sherwood,,1986
Bonnie St. John,,1986
Joe Torsella,,1986
Wilhelm Verwoerd,,1986
Michael Barr,Treasury official,1987
David Chalmers,,1987
Sarah Cleveland,,1987
James Collins,bioengineer,1987
Elizabeth M. Cousens,,1987
Merlin Crossley,,1987
Atul Gawande,,1987
Sagarika Ghose,,1987
Asher Lopatin,,1987
Sylvia Mathews Burwell,,1987
Simon Palfrey,,1987
Patrick Pichette,,1987
David Polkinghorne,cricketer,1987
Brett Scharffs,,1987
John Tien,,1987
Ute Wartenberg,,1987
Andrew Wee,,1987
Jacob Weisberg,,1987
Jennifer Welsh,,1987
Ngaire Woods,,1987
Kathryn Brown,,1988
Knute Buehler,,1988
Sanjay Chauhan,cricketer,1988
John Devereux,academic,1988
Richard Drayton,,1988
Ceri Evans,,1988
Bryan Hassel,,1988
Jim Himes,,1988
Caroline Hoxby,,1988
John Nagl,,1988
Ann Nicholson,,1988
Jonathan Wilkinson,,1988
Paul O. Carrese,,1989
Brad Carson,,1989
Anna Donald,,1989
Katherine Eban,,1989
Christopher Ashley Ford,,1989
Brad Hoylman,,1989
Tom Malinowski,,1989
Maureen N. McLane,,1989
Michael McCullough,entrepreneur,1989
Jay Rubenstein,,1989
John Tasioulas,,1989
Danielle Clode,,1990
Jen Easterly,,1990
Michael Szonyi,,1990
Martina Vandenberg,,1990
Tara Welch,,1990
Rufus Black,,1991
David Coleman,education,1991
Jeff Dolven,,1991
Chrystia Freeland,,1991
Peter Blair Henry,,1991
Christopher B. Howard,,1991
Edward Iacobucci,,1991
Goodwin Liu,,1991
Arthur Mutambara,,1991
Greg Pak,,1991
Jeff Shesol,,1991
Leonard P. Stark,,1991
Angus Taylor,politician,1991
Kenji Yoshino,,1991
Arash Abizadeh,,1992
Cory Booker,,1992
Jonah Edelman,,1992
Noah Feldman,,1992
Nikolas Gvosdev,,1992
Marnie Hughes-Warrington,,1992
Bobby Jindal,,1992
Marc Lipsitch,,1992
Neel Mukherjee,writer,1992
Richard Primus,,1992
Tracy Robinson,,1992
Sanjeev Sanyal,,1992
Catherine Sharkey,,1992
Bob Sternfels,,1992
Jack Turner,writer,1992
Dmitri Tymoczko,,1992
Peter Beinart,,1993
Carellin Brooks,,1993
Mahmood Farooqui,,1993
Taylor Fravel,,1993
Eric Garcetti,,1993
Stephen L. Morgan,,1993
Siddhartha Mukherjee,,1993
Niles Pierce,,1993
Gina Raimondo,,1993
Faith Salie,,1993
Randy Boissonnault,,1994
Attila Brungs,,1994
Lisa Gorton,,1994
Randal Pinkett,,1994
Geraldine Wright,,1994
Andrew Zawacki,,1994
Jenny Cooper,lawyer,1995
Drew Hansen,,1995
Benjamin Jones,economist,1995
Desmond Koh,,1995
Rachel Maddow,,1995
Audri Mukhopadhyay,,1995
Cristina M. Rodr%C3%ADguez,,1995
Jonny Steinberg,,1995
Brenton Brown,,1996
Byron Byrne,,1996
Vahni Capildeo,,1996
Mark Embree,,1996
Michelle Gavin,,1996
Eric Greitens,,1996
Lisa Grushcow,,1996
Rosemary Langford,,1996
Nicholas Pirihi,,1996
Lavanya Rajamani,,1996
Anasuya Sengupta,,1996
Alexander Straub,entrepreneur,1996
Simon Chesterman,,1997
David Eadie,,1997
Michael Fullilove,,1997
Ross Garland,,1997
Simon Hollingsworth,,1997
Tali Farhadian Weinstein,,1997
Maryana Iskander,,1997
Ben Jealous,,1997
Nils Ole Oermann,,1996
Pardis Sabeti,,1997
Damon Salesa,,1997
Annette Salmeen,,1997
D. John Sauer,,1997
James Edelman,,1998
Bryan S. Graham,,1998
Menaka Guruswamy,,1998
Patrick Hayden,scientist,1998
C. Raj Kumar,,1998
Eboo Patel,,1998
Noam Scheiber,,1998
Micah Schwartzman,,1998
Rachel Simmons,,1998
Dhananjayan Sriskandarajah,,1998
Jake Sullivan,,1998
John Tye,whistleblower,1998
Antonio Delgado,politician,1999
Jonathan Finer,,1999
Mary Anne Franks,,1999
Marc Kielburger,,1999
Robert McGill,writer,1999
Aly Kassam-Remtulla,,1999
Beth Shapiro,,1999
Calvin Thigpen,,1999
Ben Cannon,,2000
Neil Hanchard,,2000
Cameron Hepburn,,2000
Craig Mullaney,,2000
Meghana Narayan,,2000
Fasi Zaka,,2000
Luke Bronin,,2001
Sara Bronin,,2001
Karen-Mae Hill,,2001
Sarah Stewart Johnson,,2001
Wes Moore,,2001
Alex Wyatt,"cricketer, born 1976",2001
Stephen Daley,,2002
Lillian Pierce,,2002
Rob Porter,,2002
Thum Ping Tjin,,2002
Chesa Boudin,,2003
Jeremy England,,2003
Cyrus Habib,,2003
Jonah Lehrer,,2003
