wiki_page
William_Miller_Macmillan
John_Behan_(educationist)
Carl_Brinkmann
Lawrence_H._Gipson
Robert_L._Henry_Jr.
Stanley_Hornbeck
Worthington_Hoskin
Norman_Jolly
H._G._Merriam
David_Richard_Porter
"Ellis_Robins,_1st_Baron_Robins"
Arthur_Stanley_Roe
H._J._Rose
John_C._Sherburne
Allan_Thomson_(geologist)
John_J._Tigert
Frank_Aydelotte
Beverley_Dandridge_Tucker_Jr.
Frank_Parker_Day
Arthur_Motyer
Talbot_Mercer_Papineau
Philip_Robertson_(chemist)
"Roy_Robinson,_1st_Baron_Robinson"
Percival_Halse_Rogers
William_John_Rose
John_Nevin_Schaeffer
Bernadotte_Everly_Schmitt
Lutz_Graf_Schwerin_von_Krosigk
Harvey_Sutton
Robert_Preston_Brooks
Arnold_Seitz
Ernst_Stadler
Warren_Ault
Marius_Barbeau
Albert_van_der_Sandt_Centlivres
Joseph_Gilbert_(politician)
Colin_Gilray
Reginald_Hands
Clarence_H._Haring
Charles_A._Keith
Alain_LeRoy_Locke
Neal_Macrossan
William_Ray_(medicine)
Albrecht_von_Blumenthal
Bob_Blake_(American_football)
Rhys_Carpenter
Charles_Wendell_David
Kingsley_Fairbridge
Philip_Hands
Frank_E._Holman
Philip_Le_Couteur
Roy_Leitch
Lennox_Broster
Thomas_Davy_(politician)
Henry_Fry_(anthropologist)
John_Gilbert_Higgins
Charles_Littlejohn
Gerrie_Maritz
Stephen_Steyn
Elmer_Davis
Albert_R._Ellingwood
Robert_Hale_(Maine_politician)
Kenneth_Hands
Ralph_Hartley
Jan_Hendrik_Hofmeyr_(1894%E2%80%931948)
Earnest_Hooton
Edwin_Hubble
Roger_Sherman_Loomis
Christopher_Morley
John_Crowe_Ransom
John_Erskine_Read
Whitney_Shepardson
Kenneth_Sisam
Joseph_Clearihue
Karl_G._Karsten
Jakob_Larsen
Walter_C._Lowdermilk
Cecil_Madigan
John_B._McNair
Fridolin_von_Senger_und_Etterlin
Hugh_Ward_(bacteriologist)
Edmund_Herring
Edmund_Britten_Jones
Brand_Blanshard
Henry_Brose
Oliver_Carmichael
Clive_Carruthers
Frank_Kerr_(footballer)
John_W._Kyle
George_Bernard_Noble
Vyvyan_Pearse
Georg_Rosen_(1895%E2%80%931961)
Norman_Taber
Harvie_Branscomb
Charles_R._Clason
Jackie_de_Villiers
Cyrus_Stokes_Gentry
Paul_Homan
Norman_Manley
Wilder_Penfield
Edgar_Rochette
Walter_Crawford
E._V._Gordon
Wilfrid_Kent_Hughes
Henry_Grattan_Nolan
F.E._Williams
Miner_Searle_Bates
Edward_Berry_(soldier)
Robert_P._T._Coffin
Malcolm_Mercer_Hollett
Howard_Rayner
Hugh_Cairns_(surgeon)
Thane_Campbell
Sherwood_Lett
John_O._Moseley
Kenneth_Bailey_(lawyer)
Guy_Blaikie
Clifford_Durr
Terence_MacDermot
Stanley_Pargellis
Fred_Paterson
Norman_McLeod_Rogers
John_Monk_Saunders
Jacobus_Duminy
Roland_Michener
Francis_Pickens_Miller
Robert_Clarkson_Tredgold
Arthur_Wesley_Wheen
Bill_Airey
Robert_Barbour_(cricketer)
George_Estabrooks
Keith_Hancock_(historian)
John_Marshall_Harlan_II
John_Nicolson_(South_African_cricketer)
F._R._Scott
Vernon_Treatt
Arthur_Vidrine
Joseph_A._Brandt
Howard_Florey
John_Farquhar_Fulton
